,id,Id. Piquete,Piquete,Área,Cultivar,Módulo,Produção planejada,Tx. Ac mês,Estoque,Oferta mês,GM,Nome GM,Tipo,Dias,Ordem,Piq. atual,Último pastejo,Dias Ciclo,Centro,Cod. Fazenda,Fazenda,Dias descanso,Meta fazenda,Meta GM,geometry,lat,lon,,,,,,,,,
28,29,10117M12P5,M12P5,11.28,Marandu,12,101 | 13t | 2022,9.47,"1,745.26","8,111.95",53,"Lote 9090130,137, outros",Oferta,9,3,0,1969-12-31 21:00:45,8.43,"-20.188582, -53.329672",101,Santa Helena,5.00,966.82,932.87,POINT (-53.329672 -20.188582),-20.19,-53.33,,,,
29,30,10117M12P6,M12P6,11.23,Marandu,12,101 | 13t | 2022,9.47,"1,927.32","8,735.38",53,"Lote 9090130,137, outros",Oferta,9,2,0,1969-12-31 21:00:45,18.36,"-20.188278, -53.326269",101,Santa Helena,15.00,"1,026.15","1,384.79",POINT (-53.326269 -20.188278),-20.19,-53.33,,
30,31,10117M12P7,M12P7,9.15,Marandu,12,101 | 13t | 2022,9.47,"3,293.34","11,105.77",53,"Lote 9090130,137, outros",Oferta,12,4,1,1969-12-31 21:00:45,0.61,"-20.188068, -53.323050",101,Santa Helena,-3.00,"1,712.78","2,288.63",POINT (-53.32305 -20.188068),-20.19,-53.32,,
31,32,10117M12P8,M12P8,9.36,Marandu,12,101 | 13t | 2022,9.47,"2,688.73","9,551.67",56,Lote 134,Oferta,33,2,1,1969-12-31 21:00:45,1.56,"-20.187942, -53.320205",101,Santa Helena,-2.00,"1,416.09","2,460.95",POINT (-53.320205 -20.187942),-20.19,-53.32,,,,
32,33,10117M12P9,M12P9,10.64,Marandu,12,101 | 13t | 2022,9.47,"2,374.92","9,791.89",72,Lote 167,Oferta,5,2,0,1969-12-31 21:00:45,17.63,"-20.191000, -53.320149",101,Santa Helena,15.00,"1,238.08","1,802.31",POINT (-53.320149 -20.191),-20.19,-53.32,,,,
33,34,10117M13P1,M13P1,14.75,Marandu,13,101 | 18t | 2022,13.12,"2,542.61","15,287.27",57,"Lote 99991021,136, outros",Oferta,10,5,0,1969-12-31 21:00:45,6.38,"-20.190112, -53.308387",101,Santa Helena,2.00,"1,348.28","1,544.33",POINT (-53.308387 -20.190112),-20.19,-53.31,,
34,35,10117M13P2,M13P2,14.43,Marandu,13,101 | 18t | 2022,13.12,"3,316.68","18,519.09",57,"Lote 99991021,136, outros",Oferta,12,6,1,1969-12-31 21:00:45,1.37,"-20.189947, -53.304089",101,Santa Helena,-2.00,"1,755.17","2,400",POINT (-53.304089 -20.189947),-20.19,-53.30,,
35,36,10117M13P3,M13P3,12.08,Marandu,13,101 | 18t | 2022,13.12,"2,438.67","12,113.49",57,"Lote 99991021,136, outros",Oferta,8,4,0,1969-12-31 21:00:45,27.60,"-20.187176, -53.304049",101,Santa Helena,24.00,"1,271.98",973.88,POINT (-53.304049 -20.187176),-20.19,-53.30,,,
36,37,10117M13P4,M13P4,11.89,Marandu,13,101 | 18t | 2022,13.12,"2,607.39","12,570.38",57,"Lote 99991021,136, outros",Oferta,8,2,0,1969-12-31 21:00:45,37.69,"-20.187201, -53.308305",101,Santa Helena,35.00,"1,382.18","1,829.55",POINT (-53.308305 -20.187201),-20.19,-53.31,,
37,38,10117M13P5,M13P5,11.07,Marandu,13,101 | 18t | 2022,13.12,"2,507.55","11,346.45",57,"Lote 99991021,136, outros",Oferta,7,3,0,1969-12-31 21:00:45,27.54,"-20.187367, -53.312489",101,Santa Helena,25.00,"1,322.85","1,259.10",POINT (-53.312489 -20.187367),-20.19,-53.31,,
